id;geometry;waste amount;co2 amount
243;LINESTRING(6.87857379 53.322332962, 6.8808075 53.3278323, 6.9078447 53.3318752, 6.907862267 53.331287012);112,74;0,064897596
244;LINESTRING(6.87857379 53.322332962, 6.886215492 53.321044117, 6.8911232 53.3225417, 6.9128048 53.3208533, 6.916486264 53.320904529);604,252;0,308158015
245;LINESTRING(6.87857379 53.322332962, 6.867452609 53.323654027);2569,368;0,234639598
246;LINESTRING(6.87857379 53.322332962, 6.8760124 53.3263725, 6.8679504 53.3485676, 6.8668127 53.3504225, 6.865675 53.3522774, 6.8568311 53.3656621, 6.855482833 53.367092567);30,713;0,030100221
247;LINESTRING(6.855233233 53.300589817, 6.8541104 53.3018776, 6.853392 53.3023553, 6.8679463 53.3203041, 6.867452609 53.323654027);182,147;0,171180944
250;LINESTRING(6.976238679 53.185728579, 6.995611633 53.1705033);524,97;0,314733236
251;LINESTRING(6.976238679 53.185728579, 6.969695914 53.184904871);540,179;0,070287944
252;LINESTRING(7.0816053 53.1986815, 7.0780368 53.18197, 7.0779315 53.18187805, 7.0778262 53.1817861, 7.0620079 53.1712673, 7.06189275 53.170558683, 7.0618727 53.1699005, 7.0538696 53.1577873, 7.0539663 53.1577257, 7.054081 53.1576804, 7.055514895 53.155101336);0,52;0,003454953
253;LINESTRING(6.995611633 53.1705033, 7.0052215 53.16786925, 7.04806325 53.154164175);524,97;0,583271672
254;LINESTRING(6.995611633 53.1705033, 6.9971682 53.1650925);2,175;0,001425743
256;LINESTRING(6.969695914 53.184904871, 6.933487086 53.181911429);1190,977;0,714084996
258;LINESTRING(6.82026122 53.23063484, 6.79118489 53.20656353, 6.756105638 53.1835555);82375,552;64,74555352
259;LINESTRING(6.893632167 53.1786181, 6.89404593 53.16935203);3,48;0,003880338
261;LINESTRING(7.055514895 53.155101336, 7.04806325 53.154164175);12001,539;0,346740084
263;LINESTRING(7.04806325 53.154164175, 7.049042 53.1503328, 7.0455105 53.1466518, 7.0444821 53.1442213, 7.0439956 53.1425836, 7.042956 53.1355377, 7.045973675 53.133073625);11476,569;1,33120741
264;LINESTRING(6.9971682 53.1650925, 7.0245894 53.1568547, 7.025327167 53.152517783, 7.0247162 53.1479361, 7.0228673 53.1335004, 7.023002114 53.132891471);2,175;0,011028149
265;LINESTRING(6.933487086 53.181911429, 6.9282815 53.1796085, 6.9117199 53.1735261);1192,797;0,507155042
267;LINESTRING(6.867452609 53.323654027, 6.8661697 53.3256198, 6.8519221 53.3255194, 6.850547433 53.325255617, 6.8494183 53.3250744, 6.8357142 53.3226182, 6.834569767 53.322544533, 6.8333074 53.3224807, 6.7962844 53.3183822, 6.794785517 53.31794455, 6.7933928 53.3176935, 6.7702145 53.3128093, 6.769952767 53.312828633);2387,561;1,714407248
269;LINESTRING(6.832171506 53.392028282, 6.8291415 53.3918191, 6.7956199 53.4129521, 6.79536745 53.4129974, 6.795115 53.4130427, 6.7837188 53.4157046, 6.7878591 53.4212342);33080,211;14,74888274
271;LINESTRING(6.769952767 53.312828633, 6.7697507 53.3127596, 6.7281265 53.3008257, 6.7259806 53.2975825, 6.7236983 53.2926457);2401,211;1,039743306
273;LINESTRING(6.7236983 53.2926457, 6.709596 53.2820993, 6.70954445 53.28194525, 6.7094929 53.2817912, 6.6991568 53.2736568);2414,671;0,702338045
275;LINESTRING(6.756105638 53.1835555, 6.7550998 53.1839914, 6.7340403 53.1827137);82379,683;14,31011242
276;LINESTRING(6.7878591 53.4212342, 6.7796215 53.41206845, 6.7794668 53.4119248, 6.7601578 53.4001375, 6.755845867 53.39881215, 6.7481454 53.39517315, 6.7478154 53.3949247, 6.7135838 53.3727471, 6.713368 53.372638, 6.705009425 53.3683583);65533,669;43,0616158
278;LINESTRING(6.705009425 53.3683583, 6.701792 53.3666944, 6.6763137 53.3389962, 6.6734685 53.335056733);65588,429;22,80707347
279;LINESTRING(6.705009425 53.3683583, 6.7072869 53.3700743, 6.6764222 53.3991691, 6.676002117 53.399297067, 6.6758963 53.399567, 6.660386 53.4079825, 6.660293867 53.4080706);33,08;0,156881169
280;LINESTRING(6.660293867 53.4080706, 6.660028 53.4080128, 6.6257877 53.4068026);5,14;0,008365894
282;LINESTRING(6.6734685 53.335056733, 6.6706362 53.3310429, 6.6525486 53.3059453, 6.649954183 53.30170415);65596,584;21,49936863
284;LINESTRING(6.6492086 53.3414731, 6.6366273 53.3399374, 6.6358055 53.3398597, 6.6349837 53.339782, 6.5883655 53.3360088);0,005;2,52131E-05
286;LINESTRING(6.649954183 53.30170415, 6.6473202 53.2974675, 6.62864 53.27271, 6.58997 53.2687237, 6.591970237 53.26786835);65596,584;33,65789781
288;LINESTRING(6.6991568 53.2736568, 6.6616095 53.2480058, 6.66078 53.247759483, 6.6599319 53.247522, 6.6424849 53.2357475, 6.636454067 53.234415283);2454,436;1,747789232
290;LINESTRING(6.636454067 53.234415283, 6.6317602 53.2334192, 6.6152817 53.2298924, 6.611872148 53.226794583);2530,801;0,662462907
291;LINESTRING(6.6257877 53.4068026, 6.5963846 53.402219, 6.59519715 53.40182055, 6.5940097 53.4014221, 6.5493351 53.3914139, 6.54786245 53.39079195, 6.5457244 53.3900233, 6.5358469 53.3860557, 6.5345818 53.38532985, 6.5333167 53.384604, 6.5162007 53.371379, 6.51545715 53.3708042, 6.5147136 53.3702294, 6.5112541 53.3641822, 6.51005935 53.362664575, 6.5087803 53.3611729, 6.507126 53.3419834, 6.509220417 53.337831433);5,14;0,045161534
292;LINESTRING(6.5883655 53.3360088, 6.5982709 53.294017, 6.598836089 53.293608944);28,86;0,026893496
293;LINESTRING(6.5883655 53.3360088, 6.5317977 53.3387407, 6.531162217 53.338799983, 6.5305117 53.3388471, 6.5115604 53.3338052, 6.509220417 53.337831433);0,005;3,51953E-05
294;LINESTRING(6.591970237 53.26786835, 6.5945006 53.2698948, 6.5986025 53.2926936, 6.598836089 53.293608944);6800,934;1,806007113
295;LINESTRING(6.591970237 53.26786835, 6.5899244 53.263836, 6.580247 53.24977, 6.578970486 53.247275069);72411,628;14,60783793
297;LINESTRING(6.509220417 53.337831433, 6.5112406 53.3336806, 6.5323059 53.308675, 6.5423614 53.2548084, 6.5430969 53.25388405, 6.5438324 53.2529597, 6.5729628 53.2427934, 6.567498715 53.238779008);20,473;0,203967758
298;LINESTRING(6.509220417 53.337831433, 6.5067511 53.341863, 6.4661662 53.3537821, 6.465254367 53.353832017, 6.4641852 53.3537897, 6.4290939 53.3546519, 6.4249847 53.355559975);5,145;0,022777378
299;LINESTRING(6.7340403 53.1827137, 6.733541544 53.177594544);82383,363;5,452831102
300;LINESTRING(6.611872148 53.226794583, 6.602852173 53.234540307);3096,041;0,380423892
301;LINESTRING(6.611872148 53.226794583, 6.616343571 53.216398);92,855;0,056098568
302;LINESTRING(6.578970486 53.247275069, 6.567498715 53.238779008);75516,084;7,697017679
303;LINESTRING(6.578970486 53.247275069, 6.591332025 53.238287, 6.602852173 53.234540307);3096,041;0,785620834
304;LINESTRING(6.567498715 53.238779008, 6.565038429 53.226875246);40219,038;4,921470059
305;LINESTRING(6.567498715 53.238779008, 6.559106655 53.235485436);35384,759;1,792501148
307;LINESTRING(6.4249847 53.355559975, 6.4255394 53.3553024, 6.4238738 53.2777083, 6.4806858 53.2592836, 6.4797563 53.2471313, 6.4775198 53.2460706, 6.47682669 53.24580999);3,094;0,04713538
308;LINESTRING(6.4249847 53.355559975, 6.4196797 53.3568107, 6.3774691 53.3631323, 6.37392925 53.36295445, 6.3703894 53.3627766, 6.3120775 53.3635288, 6.3080698 53.36405985);5,145;0,028805986
309;LINESTRING(6.565038429 53.226875246, 6.580749507 53.216608307);3370,983;1,758660001
310;LINESTRING(6.565038429 53.226875246, 6.559106655 53.235485436);3395,223;1,183564407
311;LINESTRING(6.565038429 53.226875246, 6.554576483 53.214172308);40242,24;5,824597338
312;LINESTRING(6.559106655 53.235485436, 6.53902328 53.23467027, 6.528702436 53.230234389);38756,782;8,354796405
313;LINESTRING(7.0627077 52.8216916, 7.0809741 52.8483964);48,165;0,057736606
314;LINESTRING(7.0809741 52.8483964, 7.0792166 52.8502376, 7.0725172 52.8736088, 7.0423585 52.8728216);48,165;0,088110957
325;LINESTRING(7.1464156 53.1015199, 7.11155 53.06781, 7.0857577 53.0668401, 7.08539185 53.066782367);5,11;0,025078296
329;LINESTRING(7.08539185 53.066782367, 7.0867982 53.0626011, 7.1056813 53.0260288, 7.10579935 53.025919175);6,502;0,026516582
332;LINESTRING(7.045973675 53.133073625, 7.0433496 53.1343246, 7.0231933 53.1328972, 7.023002114 53.132891471);24256,481;2,479608449
334;LINESTRING(7.10579935 53.025919175, 7.1056023 53.0258607, 7.050908 53.0304717);37,302;0,052645738
336;LINESTRING(7.050908 53.0304717, 7.04991595 53.03132675, 7.0489239 53.0321818);37,302;0,00328666
338;LINESTRING(7.021589667 53.114553189, 7.0220361 53.115538, 7.0230434 53.1322551, 7.023002114 53.132891471);24266,109;3,201666604
339;LINESTRING(7.021589667 53.114553189, 7.0199549 53.114151, 7.0024834 53.1078398, 7.00224685 53.10776255, 7.0020103 53.1076853, 6.983168 53.0985948, 6.98301855 53.0984734, 6.9828691 53.098352, 6.9715381 53.089589, 6.967001446 53.08713995);24269,719;7,547908638
340;LINESTRING(7.03176495 52.91973555, 7.0269871 52.920647, 7.0178514 52.926117);5,92;0,004035702
342;LINESTRING(7.0178514 52.926117, 7.0253359 52.9333945, 7.027853658 52.940162067);1,12;0,002091518
343;LINESTRING(7.0178514 52.926117, 6.956024067 52.9754346);43,306;0,206511093
346;LINESTRING(7.0489239 53.0321818, 6.9578908 52.9976765, 6.958951905 52.996320124);37,302;0,104483469
348;LINESTRING(6.9117199 53.1735261, 6.8772008 53.1692237, 6.866005629 53.168745614);1192,797;0,91108867
