Produced;Treated;Amount;tag;colour
POINT (4.78 52.42);POINT (5.44 51.50);2514,88;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.42);POINT (5.62 52.16);207,06;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.42);POINT (5.70 52.46);840,12;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.42);POINT (5.98 51.54);37,74;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.42);POINT (6.05 53.11);1,075;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.42);POINT (6.98 53.30);214,66;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (5.32 51.90);0,15;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (6.05 53.11);6,487;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (4.76 52.60);2,58;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.27 51.56);396,64;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.42 51.88);10520,76;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.52 51.54);25,12;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.61 51.69);2,18;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.61 51.69);238,93;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.76 52.60);28,58;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.76 52.61);12017,2;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.76 52.61);12604,14;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.76 52.62);62,7;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.78 52.90);766,94;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.94 51.83);13,5;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.99 51.84);353,26;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.30 51.97);0,336;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.39 51.72);155,58;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.48 51.59);21,4;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.54 51.78);1931,59;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.62 52.16);611,7;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.70 52.46);192,26;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.71 50.88);70,52;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (6.25 52.57);81,02;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.34);POINT (4.88 52.20);23,34;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (6.05 53.11);0,152;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (4.45 51.54);3,54;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (5.11 52.04);0,453;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.38);POINT (4.58 51.67);1,255;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.35);POINT (4.51 51.84);10,08;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.35);POINT (6.05 53.11);0,023;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (4.88 52.20);34,86;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (6.58 51.99);0,23;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.40);POINT (4.45 51.54);7,4;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.40);POINT (4.89 52.19);139,02;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.40);POINT (5.10 52.63);61,71;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.40);POINT (5.11 52.04);1,986;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.40);POINT (4.94 51.83);1,528;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.40);POINT (5.32 51.90);3,99;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.94 51.83);0,263;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.32 51.90);2,3;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (6.05 53.11);0,578;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (4.94 51.83);0,039;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.41);POINT (4.45 51.54);0,8;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.41);POINT (4.75 52.61);31,66;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.41);POINT (4.77 52.88);353,16;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.41);POINT (4.79 52.64);4,36;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.41);POINT (5.70 52.46);54,24;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.32 51.90);12,3;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.87 52.56);32,766;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.89 52.97);0,15;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.38);POINT (4.58 51.67);6,006;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.73 51.85);0,078;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.34);POINT (5.06 52.11);27,36;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.34);POINT (5.07 52.11);746,7;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.94 51.83);0,095;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.11 52.04);1,55;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (6.05 53.11);0,11;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.94 51.83);0,198;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.41);POINT (4.38 51.90);141,72;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.41);POINT (4.60 51.69);1226,64;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.41);POINT (4.87 52.21);263,62;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.41);POINT (4.94 51.83);30,897;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.41);POINT (5.06 52.11);57,14;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.41);POINT (5.11 52.04);12,492;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.41);POINT (5.71 50.88);110,14;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.94 51.83);0,405;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.41);POINT (5.05 52.12);18,54;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.41);POINT (5.06 52.11);105,98;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.12 51.93);2,412;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.94 51.83);0,355;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.32 51.90);3,6;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.35);POINT (4.96 52.16);5,28;Waste treated outside of the metropolitan region;rgb(94,82,160)
